country,region,year,new.pul.TB,prev.treated.pul.TB,prev.unk.pul.TB,new.MDR,prev.MDR,MDR.tested,XDR
North Macedonia,EUR,2018,135,11,0,2,0,0,0
Northern Mariana Islands,WPR,2017,24,0,0,0,0,0,0
Northern Mariana Islands,WPR,2018,15,0,0,1,0,1,0
Norway,EUR,2017,134,9,3,6,0,6,0
Norway,EUR,2018,104,12,0,4,0,4,0
Oman,EMR,2017,189,4,0,0,0,0,0
Oman,EMR,2018,174,2,0,4,0,0,0
Pakistan,EMR,2017,128806,15241,116,535,2102,2600,123
Pakistan,EMR,2018,128001,15925,195,1004,1483,2461,86
Palau,WPR,2017,19,0,0,0,0,0,0
Palau,WPR,2018,12,0,0,0,0,0,0
Panama,AMR,2017,946,89,0,7,5,12,0
Panama,AMR,2018,983,114,,8,4,12,1
Papua New Guinea,WPR,2017,3784,362,0,0,0,,
Papua New Guinea,WPR,2018,4387,543,18,,,250,8
Paraguay,AMR,2017,1641,337,0,0,1,1,0
Paraguay,AMR,2018,1592,331,0,1,4,2,0
Peru,AMR,2017,17868,2889,0,844,491,849,82
Peru,AMR,2018,17387,3075,0,1198,481,758,91
Philippines,WPR,2017,105165,20919,0,37,350,259,4
Philippines,WPR,2018,116941,20973,,32,274,130,2
Poland,EUR,2017,3661,474,0,30,14,35,5
Poland,EUR,2018,3559,498,0,31,15,41,12
Portugal,EUR,2017,1057,87,0,9,1,7,0
Portugal,EUR,2018,1291,68,107,6,1,1,0
Puerto Rico,AMR,2017,30,1,0,0,0,0,0
Puerto Rico,AMR,2018,17,2,0,0,0,0,0
Qatar,EMR,2017,335,0,0,5,0,5,0
Qatar,EMR,2018,335,1,2,3,0,3,0
Republic of Korea,WPR,2017,16685,5020,354,320,246,560,42
Republic of Korea,WPR,2018,16342,3807,370,321,202,523,23
Republic of Moldova,EUR,2017,1494,773,0,308,178,475,30
Republic of Moldova,EUR,2018,1446,751,0,309,316,616,74
Romania,EUR,2017,7060,2264,0,97,259,142,43
Romania,EUR,2018,6682,2052,0,117,230,223,46
Russian Federation,EUR,2017,32978,26058,0,8206,14611,20477,3562
Russian Federation,EUR,2018,31732,25455,,8880,15155,23997,4970
Rwanda,AFR,2017,3837,452,0,22,14,34,0
Rwanda,AFR,2018,3860,467,0,21,7,28,0
Saint Kitts and Nevis,AMR,2017,1,0,,,,,
Saint Kitts and Nevis,AMR,2018,0,0,0,0,0,0,0
Saint Lucia,AMR,2017,11,0,0,0,0,0,0
Saint Lucia,AMR,2018,5,0,0,0,0,0,0
Saint Vincent and the Grenadines,AMR,2017,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,AMR,2018,,,,0,0,0,0
Samoa,WPR,2017,13,0,0,0,,0,0
Samoa,WPR,2018,7,0,0,,,,
San Marino,EUR,2017,0,0,0,0,0,0,0
San Marino,EUR,2018,0,0,0,0,0,0,0
Sao Tome and Principe,AFR,2017,46,3,0,,,,
Sao Tome and Principe,AFR,2018,51,2,0,1,0,0,0
Saudi Arabia,EMR,2017,1707,139,16,9,7,0,0
Saudi Arabia,EMR,2018,2012,116,17,10,2,0,0
Senegal,AFR,2017,9418,1001,0,9,33,40,0
Senegal,AFR,2018,9744,885,0,1,7,8,0
Serbia,EUR,2017,464,47,2,1,4,,
Serbia,EUR,2018,489,68,0,2,1,0,0
Seychelles,AFR,2017,14,0,0,0,0,0,0
Seychelles,AFR,2018,15,0,0,0,0,0,0
Sierra Leone,AFR,2017,9324,557,,,,,
Sierra Leone,AFR,2018,10124,158,1,,,120,0
Singapore,WPR,2017,1152,86,0,12,2,14,0
Singapore,WPR,2018,1143,88,0,11,1,11,0
Sint Maarten (Dutch part),AMR,2017,,,,,,,
Sint Maarten (Dutch part),AMR,2018,3,3,,0,0,0,0
Slovakia,EUR,2017,119,30,1,4,1,5,2
Slovakia,EUR,2018,144,17,4,0,2,2,0
Slovenia,EUR,2017,85,4,0,1,0,1,0
Slovenia,EUR,2018,70,8,2,0,0,,
Solomon Islands,WPR,2017,121,5,0,0,0,0,0
Solomon Islands,WPR,2018,176,6,0,0,0,0,0
Somalia,EMR,2017,7448,385,0,205,62,142,0
Somalia,EMR,2018,7370,113,0,63,37,100,3
South Africa,AFR,2017,113126,16455,2879,2311,837,,
South Africa,AFR,2018,126958,19247,2882,6056,,4579,461
South Sudan,AFR,2017,3859,437,37,0,0,0,0
South Sudan,AFR,2018,6582,679,55,,,,
Spain,EUR,2017,2294,132,441,15,4,18,1
Spain,EUR,2018,1761,92,1001,,,,
Sri Lanka,SEA,2017,4019,362,7,5,9,12,0
Sri Lanka,SEA,2018,4181,464,4,4,4,,
Sudan,EMR,2017,6759,1201,75,3,37,,
Sudan,EMR,2018,6765,884,46,,,,
Suriname,AMR,2017,87,10,0,,,0,0
Suriname,AMR,2018,105,9,0,0,0,0,0
Sweden,EUR,2017,259,23,13,8,1,9,0
Sweden,EUR,2018,282,13,3,5,2,7,0
Switzerland,EUR,2017,294,16,54,6,2,,
Switzerland,EUR,2018,282,25,35,3,1,4,1
Syrian Arab Republic,EMR,2017,,77,,9,6,0,0
Syrian Arab Republic,EMR,2018,979,72,0,6,10,0,0
Tajikistan,EUR,2017,2432,652,0,413,133,508,279
Tajikistan,EUR,2018,2487,550,0,296,120,312,52
Thailand,SEA,2017,34195,3242,174,377,232,272,7
Thailand,SEA,2018,39347,3916,523,768,307,630,29
Timor-Leste,SEA,2017,1861,114,0,4,,,
Timor-Leste,SEA,2018,1655,134,0,12,,,
Togo,AFR,2017,2013,218,0,13,13,0,0
Togo,AFR,2018,1893,214,0,15,9,0,0
Tokelau,WPR,2017,0,2,0,,,,
Tokelau,WPR,2018,,,,,,,
Tonga,WPR,2017,7,0,0,0,0,0,0
Tonga,WPR,2018,7,0,0,0,0,0,0
Trinidad and Tobago,AMR,2017,116,17,0,0,1,0,0
Trinidad and Tobago,AMR,2018,156,23,0,,,,
Tunisia,EMR,2017,909,70,0,10,9,19,1
Tunisia,EMR,2018,1015,36,0,11,8,19,1
Turkey,EUR,2017,5681,657,0,121,61,100,2
Turkey,EUR,2018,5465,530,0,123,44,120,8
Turkmenistan,EUR,2017,605,316,,,,,
Turkmenistan,EUR,2018,606,248,,,,,
Turks and Caicos Islands,AMR,2017,,,,,,,
Turks and Caicos Islands,AMR,2018,1,0,0,0,0,,
Tuvalu,WPR,2017,10,0,1,0,0,0,0
Tuvalu,WPR,2018,14,5,0,0,0,0,0
Uganda,AFR,2017,25494,2599,26,30,65,75,3
Uganda,AFR,2018,26963,3283,145,41,45,86,3
Ukraine,EUR,2017,12840,7212,0,2594,2414,5008,1001
Ukraine,EUR,2018,12931,6774,0,2755,2299,5054,972
United Arab Emirates,EMR,2017,46,4,0,0,0,0,0
United Arab Emirates,EMR,2018,50,1,0,0,1,0,0
United Kingdom of Great Britain and Northern Ireland,EUR,2017,2133,136,112,24,4,27,3
United Kingdom of Great Britain and Northern Ireland,EUR,2018,2047,163,103,17,7,19,3
United Republic of Tanzania,AFR,2017,26364,2625,,15,24,39,0
United Republic of Tanzania,AFR,2018,27201,1373,0,65,44,,
United States of America,AMR,2017,5803,288,45,90,21,85,1
United States of America,AMR,2018,5732,298,84,68,16,69,1
Uruguay,AMR,2017,564,49,0,1,0,1,0
Uruguay,AMR,2018,581,96,0,1,0,1,0
Uzbekistan,EUR,2017,4592,3600,0,351,189,540,0
Uzbekistan,EUR,2018,4828,2013,,392,424,816,0
Vanuatu,WPR,2017,47,0,0,0,0,0,0
Vanuatu,WPR,2018,41,0,0,0,0,0,0
Venezuela (Bolivarian Republic of),AMR,2017,6815,679,0,8,23,31,2
Venezuela (Bolivarian Republic of),AMR,2018,6974,551,0,3,9,12,0
Viet Nam,WPR,2017,50673,8148,53,0,333,322,13
Viet Nam,WPR,2018,49664,7193,56,0,305,265,13
Wallis and Futuna Islands,WPR,2017,,,,,,,
Wallis and Futuna Islands,WPR,2018,,,,,,,
West Bank and Gaza Strip,EMR,2017,,,,,,,
West Bank and Gaza Strip,EMR,2018,18,0,0,0,0,0,0
Yemen,EMR,2017,3235,252,,0,0,,
Yemen,EMR,2018,2849,275,0,2,6,0,0
Zambia,AFR,2017,14022,2421,,11,112,0,0
Zambia,AFR,2018,15373,1745,0,9,111,120,1
Zimbabwe,AFR,2017,12355,1036,54,,,,
Zimbabwe,AFR,2018,11398,728,102,117,,117,6
